Solver,Model,Name, NumTargetPlates, SizeTargetPlates, NumSourcePlates, NumCombinations,SolutionTime,IsTimeout,TotalTime, NbSwaps
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,1.46,false,1.46,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,0.35,false,0.35,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_0.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_1.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.27,false,0.27,1
